company_name,domain,country,source,email,phone,address,description,profile_url
D2L,d2lpharma.com,India,ichgcp,enquiry@d2lpharma.com,91-80-30850666,"1st Floor, North Wing, Nandi Infotech, KIADB Plot # 8, 1st Cross, Sadaramangala Industrial Area, Whitefield ITPL Road, Bangalore – 560048","D2L Pharma Research Solutions is a leading force in opinion leader engagement. Established in the year 2007, D2L ‘Discovery to Launch’ has been at the forefront of providing exemplary service to the pharmaceutical, biotechnology, and medical communications companies since its inception. We help transform market performance by forging professional partnerships between Key Opinion Leaders (KOL) and our clients. Our KOL development strategy is designed to facilitate relationship-building that is productive for both sides. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/d2l
DIL Limited,dil.net,India,ichgcp,srikant.sharma@dil.net,+  91  22  6798  0888,"A -1601, Thane One,DIL Complex,Majiwada, Thane (West) - 400 610","DIL Ltd. (earlier known as Duphar-Interfran Ltd.) is a well-respected public listed company. It has built a stellar reputation for itself in the arenas of pharmaceuticals, biotechnology, environmental solutions and other segments including Entertainment and Health & Wellness. But the huge conglomerate of today certainly had quite humble beginnings. The late Dr. Datla Venkata Krishnam Raju or Dr. DVK Raju as he was fondly called; was a legend of extraordinary caliber, a man of vision and a pioneer of the Indian drug industry. Born in a small village in Andhra Pradesh, Dr. DVK Raju inherited the father’s traits of being a self made man. Armed with a Doctorate in Pharmaceutical Chemistry from the London School of Pharmacy coupled with his entrepreneurial acumen and nationalistic outlook, he returned to India in 1948 to start his own ventures. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/india/company/dil_limited
Dishman Group,dishmangroup.com,India,ichgcp,dishman@dishmangroup.com,91  27  1766  9600,"Bavla,Dishman Carbogen Amcis Limited,Survey No. 47,Paiki Sub Plot,No. 1 Village,Lodariyal Taluka - Sanand,Dist. Ahmedabad 382220","Dishman is the global outsourcing partner for the pharmaceutical industry offering a portfolio of development, scale-up and manufacturing services. The products and services offered span customers’ needs from chemical development to commercial manufacture and supply of active pharmaceutical ingredients. Dishman has a relationship driven business model that improves its customers businesses by providing a range of solutions at locations in Europe, China and India. Our offer delivers the best of both worlds:western expertise in speed, flexibility, innovation and rapid material provision,new world expertise in process optimisation, robust large scale processes and secure economic commercial supply. Our commitment is to deliver cost-competitive technical excellence and to be a reliable partner to our customers, protecting their interests as if they were our own. Dishman is headquartered in Ahmedabad, India and is listed on the Bombay Stock Exchange Ltd. (BSE) and The National Stock Exchang",https://ichgcp.net/cro-list/country/india/company/dishman_group
Divi's Laboratories Limited,divislabs.com,India,ichgcp,,+91  (40)  2378  6300,"1-72/23(P)/DIVIS/303, Divi Towers, Cyber Hills, Gachibowli, Hyderabad, Telangana, India – 500 032.","Divi’s  has been established for more than 29 years in Hyderabad, India with two manufacturing units and is among the top pharmaceuticals companies in India. Divi’s is recognized as a ‘Reliable Supplier of generic APIs (Active pharmaceuticals ingredients)’ and a trustworthy ‘Custom Manufacturer’ to Big Pharma and also is among the top API manufactures in the world. Divi’s is the leading manufacturer of APIs(Active pharmaceuticals ingredients), Intermediates and Registered starting materials offering high quality products with the highest level of compliance and integrity to over 95 countries. Divi’s recently reached the milestone of being one among the top 3 API manufacturers in the world and one among the top API companies in Hyderabad 11,000 highly trained professionals across departments and 350 scientists at Divi’s work together to bring world class products to customers. Divi’s is a Public limited company listed on the Indian stock exchange with a revenue of  INR 5036 crores (~$73",https://ichgcp.net/cro-list/country/india/company/divis_laboratories_limited
Dubar Research Foundation,daburresearch.in,India,ichgcp,contact@daburresearch.in,91(0120)  3378990,"22, Site IV, Sahibabad, Ghaziabad - 201010, Uttar Pradesh","Dabur Research Foundation (DRF) is an Indian Contract Research Organization offering pre-clinical services in Drug Discovery and Development, ranging from identification of potential lead molecules, drug development to IND enabling studies. We offer pre-clinical services to global Biotech, Pharma, Phytopharmaceuticals Cosmescuticals and academia sectors. Our services broadly fall into the functional areas of In Vitro, ex-Vivo & In Vivo Pharmacology, Exploratory & GLP Toxicology & DMPK. Our genesis is from the Dabur group of companies and we started operating as a preclinical service provider after a strategy spin-off from our parent company in the year 2008. It is this experience of 20 years of drug discovery & development that we bring to our clients as a preclinical service provider. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/india/company/dubar_research_foundation
Endpoint,endpointclinical.com,India,ichgcp,,8004430028,"V Ascendas IT Park Capella Building, 5th Floor Plot #17 Software Units Layout Madhapur, Hyderabad 500081 Telagana Other Endpoint's locations around the world","endpoint is the destination for people who are passionate about delivering the most innovative and high-quality IRT solutions for clinical trials. We find purpose through hard work and a commitment to excellence, resulting in a competitive advantage unparalleled in the industry. Through endpoint’s culture of accountability and execution, we ensure that our customers are able to focus on the science of developing lifesaving medications for patients. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/endpoint
Eurofins Advinus,advinus.com,India,ichgcp,info@advinus.com,91  80  6655  2700,"(formerly Advinus Therapeutics Limited) #21 & #22 Phase II, Peenya Industrial Area Bangalore 560058","Eurofins Advinus is a R&D services company that supports the discovery and development of compounds for diverse industries including Pharmaceuticals, Biologicals, Agrochemicals, Nutraceuticals and Cosmetics. Eurofins Advinus is part of Eurofins Scientific, a EUR 2.5 Billion leading international group of laboratories providing a unique range of analytical testing services to the pharmaceutical, food, environmental and consumer products industries and to governments. Eurofins Advinus facility has over 30 years of GLP experience in conducting regulatory studies in compliance with global regulations for supporting clinical trials and registration of substances and products globally. For the pharma/biotech industries, Eurofins Advinus offers end-to-end services in the areas of preclinical toxicology testing, chemical process development, analytical R&D, drug metabolism and pharmacokinetics for IND submission. In addition, the company also offers long term non-clinical toxicology testing, i",https://ichgcp.net/cro-list/country/india/company/eurofins_advinus
Global Drug Development Experts (GDDE),gddexperts.com,India,ichgcp,info@gddexperts.com,(91)712  6669081,"GDD Experts India Private Limited. Third Floor, Padmanabh Residency. 16/B; Behind Surbhi Girls Hostel. Ahead of Shankar Nagar; Tilak Nagar; Nawab Layout Nagpur 440010, Maharashtra Other Global Drug Development Experts (GDDE)'s locations around the world","Global Drug Development (GDD) Experts is the Site Management Organization (SMO) of choice in India. GDD is a US-based company, and brings global expertise in quality assurance and patient enrollment to the Indian SMO market. Unmatched in therapeutic and operational expertise, GDD is committed to our clients' success. We serve global pharmaceutical, CRO, biotechnology and medical device companies across all clinical trial phases. Our clients demand, and we deliver, world-class results in both Quality and Speed of Enrollment. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/global_drug_development_experts_gdde
GVK Biosciences,gvkbio.com,India,ichgcp,,91  40  6692  9999,"GVK Biosciences Private Limited Plot No. 28 A, IDA Nacharam, Hyderabad – 500076, India Other GVK Biosciences's locations around the world","GVK BIO, a leading Contract Research & Development Organization – CRDO that services the global Biopharma industry; is headquartered in Hyderabad, India with operations in four sites including California, USA. Established in 2001, GVK BIO has over 16 years of rich experience across the Research and Development value chain with a focus on speed and quality. Our team of over 2000 highly qualified scientists, backed by well-defined and scalable processes, modern facilities and a strong customer-centric partnering approach, focus on bringing our customers’ products to market. We partner with reputed global academic institutions and research laboratories to find efficient, cost-effective and innovative solutions to their Research and Development challenges List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/gvk_biosciences
Hi Tech Bio Laboratories,htblindia.com,India,ichgcp,info@htblindia.com,+91  20  25285026,"C-2/102, Saudamini Complex, Survey No. 101/1, Bhusari Colony, Paud Road, Kothrud, Pune – 411038 Maharashtra","Hi Tech BioSciences India Ltd. is a prominent supplier of high end products and research based solutions in the arena of nutraceuticals and biocatalysis. Founded by Dr. Raghavendra Gaikaiwari in 2007, Hi Tech BioSciences has in a short period of time emerged as a leader in Probiotics & Nutraceutical products and Biocatalysis solutions for a wide range of clients from diverse industry verticals like pharmaceuticals, API intermediates, Food, agrochemical and other industries. We offer standardized as well as customized products and solutions to our clients, allowing flexibility and greater efficacy. We have top of the line research and manufacturing infrastructure, enabling us to provide end-to-end solutions ranging from proof-of-concept to product development and manufacturing and we strive towards synergistic, mutually beneficial and long-term partnerships with our clients. List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/india/company/hi_tech_bio_laboratories
Indus Biotherapeutics,indusbiotech.com,India,ichgcp,info@indusbiotech.com,+91  20  26851239,"1 Rahul Residency, Off Salunke Vihar Road, Kondhwa,Pune, Maharashtra, India - 411048","Founded in 1995, Indus Biotech is a pioneer in deriving science based dietary ingredients from food chain raw materials through revolutionary patented technology. Our products are subjected to the highest levels of scientific rigour. We understand the mechanism of action and the Chemistry and Manufacturing Controls (CMC) of our products. This leads to standardization and reproducibility in our manufacturing process. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/indus_biotherapeutics
Infoclin LLP,infoclinconsultancy.in,India,ichgcp,subhajitp@infoclinconsultancy.com,91(0)3348035249,"27 Jodhpur Colony,2nd floor,P.O-Lake Gardens,Kolkata,West Bengal,pin code-700045","Infoclin LLP (A research management company) Introduction Infoclin LLP is a clinical research management company, based at Kolkata, India & business development center in Mumbai, India. Initially it was set up as site Network Company in the name of Infoclin Consultancy in 2014, effective from 2015.Eventually we grasp the network & converted into site network, which is now Infoclin LLP. Since our beginning, we have tried to analyse the setbacks of growth of the trial specifically in the eastern part of India, which is now in Pan India basis & recently started in neighbouring country Bangladesh also. Vision & Mission • Our purpose is to create healthier lives for people today and generations to come. • We connect our competences in Life Sciences to create solutions that protect and improve human life. The company was formed with a particular aim, to provide seamless experience to the sponsor, with highest protocol adherence & patient safety at its highest priority & recruitment & retenti",https://ichgcp.net/cro-list/country/india/company/infoclin_llp
Innovate Research,innovate-research.com,India,ichgcp,Devesh.kumar@innovate-research.com,+91 78277 58840,"Building C-120, 3rd Floor Sector - 2, Noida, 201301, India Other Innovate Research's locations around the world","Innovate Research stands as a leading Contract Research Organization (CRO) dedicated to providing comprehensive services in the dynamic field of clinical research, established in January 2014 With a strategic presence across the globe, our offices are in India, USA, UAE, and Hungary, ensuring a widespread reach and facilitating seamless global collaboration. Innovate Research excels in providing end-to-end solutions for clinical research, encompassing various phases and therapeutic areas. Our Expertise Includes: Clinical Trials : Conducting Phase I to Phase IV Drug Molecule Studies, Vaccines, Nutraceuticals, Herbal Products, Cosmetics, and Medical Device Trials.",https://ichgcp.net/cro-list/country/india/company/innovate_research
International Pharma Trials,ipharmatrials.com,India,ichgcp,kirtipatel@ipharmatrials.com,91-22-2611-3723,"Mumbai,B-32 Anand Apartments,Santacruz Subway Road, Mumbai 400054 Other International Pharma Trials's locations around the world",The International Pharma Trials group is committed to the highest standards of clinical excellence and scientific expertise. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources,https://ichgcp.net/cro-list/country/india/company/international_pharma_trials
IntrexTest,inrextest.com,India,ichgcp,pp@inrextest.com,(91)  20-66078498   (91)  20-30224466   (91)  20-25679081,"5 Harmony House 797/1, Bhandarkar Institute Road Pune, Maharashtra 411 004. Other IntrexTest's locations around the world","InrexTest facilitates and coordinates pharmaceutical and medical device studies through our team of internal experts coupled with top quality labs supporting preclinical and clinical testing at every stage of development. At InrexTest, we understand customers’ priorities. We utilize our technical expertise to design and customize individualized research projects based on client inputs. We qualify and audit testing facilities that are best suited to conduct your research. Our highly competent staff oversees the complete execution of the project and delivery of signed reports to the client. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/intrextest
Invitro Research Solutions Private Limited,ivrs.org.in,India,ichgcp,,+91 95737 87573,"22 & 23, Kodigehalli Main Rd, Sahakar Nagar, Hebbal, Bengaluru, Karnataka 560092","InVitro Research Solutions Pvt. Ltd. (iVRS) is a premier Contract Research Organization (CRO) dedicated to delivering high-quality clinical research services for the Pharmaceutical, Biopharmaceutical, Medical Device, Nutraceutical, Herbal, and Healthcare industries. Our expertise spans in-vitro testing, bioanalytical studies, and regulatory support, offering comprehensive solutions for drug discovery and development. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/invitro_research_solutions_private_limited
Jai Research Foundation (JRF Global),jrfglobal.com,India,ichgcp,bd@jrfonline.com,91  9909900950  9825603140,"NH-48, Near Daman Ganga Bridge Valvada - 396 105 (Old: 396 108), Gujarat Other Jai Research Foundation (JRF Global)'s locations around the world","JRF Global offers comprehensive non clinical GLP research services for regulatory submissions, worldwide. We offer fast, transparent, cost-effective, and hassle-free services in Toxicology, Eco-toxicology, Chemistry, Environmental Fate and Metabolism, and other regulatory testing requirements. Our experienced and knowledgeable scientists have worked with pharmaceutical and biopharmaceutical, agrochemical, specialty chemical, industrial biotech, biocidal, cosmetic, and veterinary products.  With locations in India, USA, UK, and Japan, we are the obvious partner-of-choice of over 600 companies for non clinical safety data generation.JRF Global offers integrated services for evaluating products for their chemical properties, eco-toxicological and environmental fate, and mammalian safety. In addition, we also provide regulatory guidance to minimise the testing time and efforts. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/india/company/jai_research_foundation_jrf_global
JSS Medical Research,jssresearch.com,India,ichgcp,,+91 129 6613500,"Tower 2, 1st Floor, South Wing L&T Business Park Plot no 12/4 , Sector 27 D, Near Sarai Khawaja Metro Station Delhi Mathura Road, Faridabad -121003, Haryana Other JSS Medical Research's locations around the world","JSS Medical Research is a full-service CRO built on a foundation of epidemiological and scientific expertise, with a strong network of academic affiliations and over 30 years of experience in multiple therapeutic areas. We are an international Canadian-owned company with offices in Canada, the USA, Colombia, India and Poland. We have over 200 ongoing projects in fiscal 2020 and are present in more than 20 countries with approximately 300 full time employees. Comprehensive services provided globally by JSS Medical Research support pharmaceutical, biotechnology, nutraceutical and medical device companies with their pre- and post-approval clinical development as well as reimbursement goals and strategies. List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/india/company/jss_medical_research
Kemwell Biopharma,kemwellbiopharma.com,India,ichgcp,info.india@kemwellpharma.com,(+91-80)  2698  2400,"Kemwell Biopharma Pvt. Ltd.  34th KM, Tumkur Road  T-Begur, Nelamangala  Bangalore, 562 123","Kemwell is a contract biologics development and CMO company providing services to global biopharmaceutical organizations. Kemwell facilities, located in Bangalore, India, are designed and developed with technological support from a leading German pharma company. Kemwell provides customers with cost-effective access to state-of-the-art technology for all mammalian cell culture based products’ development and manufacturing. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/kemwell_biopharma
Labnetworx,labnetworx.com,India,ichgcp,info@labnetworx.com,91-85273-17888,107 Wegman's Business Park Knowledge Park III Surajpur Kasna Road Greater NOIDA Uttar Pradesh - 201308 Other Labnetworx 's locations around the world,"Labnetworx is a consulting company that operates at the interface of Healthcare, Life Sciences, Pharmaceuticals and Information Technology. We offer our customers solutions designed to meet the needs of today and tomorrow.... List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/labnetworx
Lambda Therapeutic Research Limited,lambda-cro.com,India,ichgcp,BD@lambda-cro.com,+91-79-40202020,"Lambda House  Plot No. 38, Survey no. 388  Near Silver Oak Club,  S. G. Highway,  Gota, Ahmedabad-382481. Gujarat Other Lambda Therapeutic Research Limited's locations around the world","We, Lambda Therapeutic Research Limited are a leading global Clinical Research Organization (CRO) headquartered in Ahmedabad – India, with facilities and operations in Mehsana (India), Warsaw (Poland), London (UK), Pittsburgh (USA), Las Vegas (USA) and Fargo (USA). Over 1500 employees are working across the globe in these facilities. Lambda offers Full-spectrum clinical trial solutions empowered by more than 20 years of service to the biopharmaceutical and generic industry. At Lambda, our gamut of services under the clinical research domain are executed with comprehensive efforts, to deliver positive results. Led by a management team of highly qualified & experienced industry leaders, we apply innovative technologies, therapeutic expertise and a commitment to quality in order to help clients develop products safely, effectively and quickly. Delivering the best is accomplished by hiring the best. Employees are the pillars that hold up every quality promise that we make. That’s why, we a",https://ichgcp.net/cro-list/country/india/company/lambda_therapeutic_research_limited
Laxai,laxai.net,India,ichgcp,info@laxai.net,91  40  6111  6888,"3rd Floor, Ventureast Plaza, Plot Nos. 40 & 41, Road Number 2, Financial District, Nanakramguda, Ranga Reddy District, Telangana 500032 Other Laxai's locations around the world","Laxai Life Sciences Pvt. Ltd. was established in the year 2007, with a vision to accelerate the discovery chemistry campaign of global pharmaceutical companies, by supporting the high quality intended compounds in reduced pricing and timeline. With this vision, a group of highly skilled research scientists have facilitated the birth of “Laxai” List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/laxai
Max India,maxindia.com,India,ichgcp,,91  11  49376000,"167, Floor -1, Plot – 167, Ready Money Terrace, Dr. Annie Besant Road, Worli, Mumbai - 400018","Max India, a part of the leading Indian conglomerate Max Group, has a presence in the senior living and healthcare industry. It is the holding company of Antara Senior Living and an equal joint venture partner with a 49.7% in Max Healthcare along with Radiant Life Care Private Limited (Radiant). Max India’s businesses have well-entrenched positions in their respective categories and are recognized for their outstanding service standards. Max India is listed on both the Bombay Stock Exchange as well as the National Stock Exchange. For more details, visit List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/max_india
Maya Clinicals,mayaclinicals.com,India,ichgcp,,,"Flat No. 604, 7th Floor, Cyber Heights, Road No 2, Banjara Hills, Hyderabad 500034 Telangana Other Maya Clinicals's locations around the world","Maya Clinicals is a Northern California CRO with an extensive network of sites, MD’s, and specialists in India. We are focused on working with Bio-Pharma start-ups and Pharma companies in a unique and flexible co-development model to accelerate drug development programs and lower the barrier to developing new therapeutics. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/maya_clinicals
Metropolis,metropolisindia.com,India,ichgcp,,022-33993939,"250-D, Udyog Bhavan, Hind Cycle Marg, Behind Glaxo, Worli, Mumbai – 400030","We are one of the leading diagnostics companies in India, by revenue, as of March 31, 2018 (Source: Frost & Sullivan). We have widespread presence across 18 states in India, as of March 31, 2018, with leadership position in west and south India (Source: Frost & Sullivan). Through our widespread operational network, we offer a comprehensive range of clinical laboratory tests and profiles, which are used for prediction, early detection, diagnostic screening, confirmation and/or monitoring of the disease. We also offer analytical and support services to clinical research organizations for their clinical research projects. During the financial year 2018, we conducted approximately 16.0 million tests from approximately 7.7 million patient visits. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/metropolis
MMS Holdings,mmsholdings.com,India,ichgcp,Asia@mmsholdings.com,+91  80  40948717,"MMSH Clinical Research Pvt. Ltd. 2/1, Dr. Rajkumar Road, Rajajinagar Bangalore 560010 Other MMS Holdings's locations around the world","MMS is a place where years of proven success have guided sponsors through their data services and regulatory submissions goals. When MMS takes on a project, colleagues become ingrained in that sponsor – taking on a greater level of care and guiding them towards a positive outcome. Sponsors that demand high quality come to MMS for strong industry expertise, a scientific approach to drug development, and top talent. Sponsors stay with MMS for its flexibility, agility, and a “do what it takes” attitude that is unrivaled in the industry. With a global footprint across four continents, MMS was proud to be named Best Global Biotech CRO in the 2018 International Life Sciences Awards and Most Outstanding Global CRO in the 2019 Biotechnology Awards. List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/india/company/mms_holdings
Ocimum Biosolution,ocimumbio.com,India,ichgcp,info@ocimumbio.com,91-40-6698-6700,"Royal Demeure, Plot No. 12/2, Sector-1 HUDA Techno Enclave, Madhapur Hyderabad-500 081, A.P","“Ocimum Biosolution” is a comprehensive Integrated Life Science Informatics solutions provider with service offerings that span Sample and Data Management (LIMS, Biologics Data Management), Genomics Data Analysis Services such as Gene Expression, Genotyping, and Next Gen Sequencing, Bioinformatics and Genomics Databases (BioExpress®, ToxExpress®) and Bio-IT consulting services. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/ocimum_biosolution
Orphan Reach,orphan-reach.com,India,ichgcp,,91  79  6611  8029,"No. B 209, Westgate,S.G Highway,Ahmedabad 380015,Gujarat Other Orphan Reach's locations around the world","Navigating the CRO landscape can be difficult for biotech companies that vastly rely on outsourcing as the differentiation between CROs seems marginal and confusing at times. Orphan Reach is different: We are a boutique service provider solely focused on orphan product candidates supported by a competent team of experts in the field of rare diseases. Our name is our mission. Our highly experienced and motivated team, backed by our resolute commitment to quality will enhance this drug development process for the benefit of all. We undertake our mission with dedication to flexibility, operational excellence and cost effectiveness. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/india/company/orphan_reach
Pharmaffiliates,pharmaffiliates.com,India,ichgcp,,sabharwal.abhinav,"Plot Number 225 ,Industrial Area, Phase II, Panchkula,Haryana-134109 Other Pharmaffiliates's locations around the world","Pharmaffiliates Analytics and Synthetics P. Ltd., a Research Based Organization is a gigantic name in the global market, which offers services to Pharmaceutical industry, Biotechnology industry, API manufacturers, Bulk drug suppliers, clinical CROs, Research institutes and other allied industries. Started in the year 2001 as a research based organization, Pharmaffiliates is known in the industry for its state of the art research and development center, located in the North Indian state of Haryana, India. With a core team of our subject matter experts which is a blend of highly experienced and learned scientists along with young and dynamic associates, Pharmaffiliates main focus is on synthetic research, analytical research, NDDS and regulatory consulting. List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/india/company/pharmaffiliates
Premas Biotech,premasbiotech.com,India,ichgcp,contact@premasbiotech.com,91-124-4546600,Plot 77 Sector 4 IMT Manesar Gurgaon India 122050,"Premas Biotech is an emerging trendsetter in next generation protein expression and process development for scale up. With over 13 years of experience and a world-class team of scientists, we enable customers steer therapeutic development in a quicker, more certain, more secure & a more cost-effective way. Premas has continuously been acknowledged for on-time deliveries, strong processes, COGS reduction and analytical development. But what probably brings our customers back the most is the flexibility we offer in our approach to tackle each project based on their specific needs. Beyond business of expressing proteins, we’ve successfully established relationships with each customer as a long-term partner offering strategic expertise in their journey to create IPs. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/premas_biotech
ProRelix Research,prorelixresearch.com,India,ichgcp,info@prorelixresearch.com,+91 20 2547 8064,"102 A/B, 1st Floor, Park Plaza, Near State Bank Colony, Karve Nagar, Pune 411052 Other ProRelix Research's locations around the world","Since 2014 ProRelix Research has been supporting our clients with outstanding clinical research services. The successful growth of ProRelix Research has been achieved by putting high quality and client focus at the heart of everything we do. We leverage our experience and expertise at the early stages of discussions with our clients to freely advise them on the optimal project plan. We then reach decision with each client on the scope of service, timelines and budget. ProRelix Research then commits to deliver those services on time and within budget – according to our End-to-End Guarantee. Our commitment to guaranteed delivery is unique in the clinical research environment which is otherwise notable for the routine occurrence of delays and cost overruns. Acting through Pharmaceutical, Medical Device Research teams, and with a comprehensive portfolio of services, we offer a flexible approach to ensure ProRelix Research optimally support the unique needs of each client. This could mean p",https://ichgcp.net/cro-list/country/india/company/prorelix-research
RCC Laboratories,rccltd.in,India,ichgcp,marketing@rcclabs.com,91  40  2348  0421/  422/  423/  424,"Genome Valley, Hyderabad Post Code: 500 078. Andhra Pradesh, India.","Originally founded in Basel, Switzerland in 1977, RCC has grown into one of Europe’s largest pre-clinical research providers by developing services that meets the needs of worldwide clients. RCC Laboratories India was established in November 2005 and started operations during August 2006 with the aim to provide preclinical and safety services following national and international guidelines with global RCC standards and QA programs List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/india/company/rcc_laboratories
Reliance Life Sciences,rellife.com,India,ichgcp,,91  22  6767  8000,"Dhirubhai Ambani Life Sciences Centre,R-282, TTC Area of MIDC, Thane-Belapur Road, Rabale,Navi Mumbai 400 701","Reliance Life Sciences is a research-driven organization developing business opportunities in bio-therapeutics (plasma proteins, biosimilars and novel proteins), pharmaceuticals (later-generation, oncology generics), clinical research services, regenerative medicine (stem cells therapies) and molecular medicine.  Reliance Life Sciences is part of the Promoter Group of Reliance Industries Limited. Reliance Life Sciences has launched three of the world’s first biosimilars, has the largest number of biosimilars in the market in India, and the highest number of biosimilars under development globally. It has the distinction of being the first integrated manufacturer of plasma proteins in South Asia. Reliance Life Sciences has catalyzed the emergence of regenerative medicine in the country, and has the highest experience with cord blood stem cell transplants in India. RLS is one of the few centres in the world offering a specialized range of tests in molecular medicine and molecular genetics",https://ichgcp.net/cro-list/country/india/company/reliance_life_sciences
Sai Life Sciences,sailife.com,India,ichgcp,,91  40  3315  6000,"L4, SLN Terminus, Gachibowli,Hyderabad 500032, Telangana","Sai Life Sciences delivers advanced Discovery, Contract Development and Manufacturing Solutions, through a broad suite of expert capabilities across the molecular lifecycle.We are an ideal drug discovery, development and manufacturing partner. Our pharma and biotech clients gain clear competitive advantages through shorter time to market and risk minimization using our integrated and high-quality scientific services. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/sai_life_sciences
Spectrum Clinical Research,spectrumcr.com,India,ichgcp,info@spectrumcr.com,91-22-6615  5570  /  4064  5100,"401 Kshamalaya,37 New Marine Lines,Mumbai 400 020,Maharashtra","Spectrum Clinical Research is an one-of-its-kind patient-focused drug development organization. Our aim is to provide quality clinical research support to pharmaceutical companies and Contract Research Organizations in order to facilitate the development of new chemical entities, evolve innovative therapies and support research on novel drug delivery systems, keeping the well - being & safety of patients at the core of our every endeavor ensuring compliance to the highest regulatory, scientific & ethical standards by ICH, WHO, USFDA. We at SCR bring forth the path-breaking scientific expertise, quality commitment and benchmark ethical practices to carry out clinical development of new molecular entities and novel therapies better, faster and with a high level of accuracy. List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/india/company/spectrum_clinical_research
Strand,strandls.com,India,ichgcp,info@strandls.com,91-80-4078-7263,"5th Floor, Kirloskar Business Park ,Bellary Road, Hebbal, Bangalore 560024","Strand offers clinical research and development services to pharmaceutical and biotechnology companies in the areas of clinical trial management, biomarker discovery, and validation. Led by a team of specialist oncopathologists, molecular biologists, and clinical researchers, we are well-positioned to leverage the wide variety of patient cases. The molecular research department undertakes sponsored research projects for pharmaceutical and biotechnology companies relating to the discovery and validation of cancer biomarkers. We manage an annotated biorepository of clinical specimens, including cancer tumour tissue (and in most cases, paired normal tissue), blood and serum. In many cases, we also maintain clinical data for patients, all in full compliance with norms of good clinical practice and as per protocols approved by our central ethics committee. Our clinical research team works with physicians to determine the genetic profile of different types of cancer to formulate personalized",https://ichgcp.net/cro-list/country/india/company/strand
Strides Pharma Science Limited,strides.com,India,ichgcp,,91  80  6784  0000  /  6784  0738,"Strides House, Bilekahalli, Bannerghatta Road,Bangalore – 560076","Incorporated in 1990, Strides Pharma Science Limited is a global pharmaceutical company headquartered in Bangalore, India. The Company has two business verticals, viz., Regulated Markets and Emerging Markets. Strides has a global manufacturing footprint with seven manufacturing facilities spread across three continents, including four US FDA approved facilities and two facilities for the emerging markets. The Company has a dedicated R&D facility in India with global filing capabilities and a strong footprint across 100 countries. List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/india/company/strides_pharma_science_limited
